join_id,tipo,area,no2_media,pred_fondo,recargo
SP_39008001_8_8,industrial,suburban,11.791640854490016,12.914870914048436,-1.12323005955842
SP_39016003_8_8,industrial,urban,11.1277414986697,20.18117939187394,-9.05343789320424
SP_39075006_8_8,traffic,urban,21.60460090166816,21.43949799755347,0.16510290411468986
SP_39087004_8_8,traffic,urban,16.59666533609491,9.304326804133517,7.292338531961395
SP_40194002_8_8,traffic,urban,12.209840765639912,6.688107372422378,5.521733393217534
SP_41049001_8_8,industrial,rural,7.138984343415782,4.615573079813916,2.523411263601866
SP_41091009_8_8,traffic,urban,25.55306961114458,15.43245440763518,10.120615203509399
SP_41091010_8_8,traffic,urban,23.27736173099736,18.61270289462141,4.664658836375949
SP_42173001_8_8,traffic,urban,19.19481593427885,9.178000572597533,10.016815361681317
SP_43004005_8_8,industrial,rural,5.190093778836597,4.126276249137785,1.0638175296988122
SP_43005002_8_8,industrial,rural,7.78345581899848,5.4987253517706485,2.2847304672278312
SP_43047001_8_8,industrial,suburban,13.49536887042765,10.844040579751026,2.6513282906766253
SP_43103001_8_8,industrial,rural,8.74945217760708,8.21850920021401,0.530942977393071
SP_43123005_8_8,traffic,suburban,15.818383057103318,16.130921171687703,-0.31253811458438463
SP_43148001_8_8,traffic,suburban,13.656280084077617,9.762467427585158,3.893812656492459
SP_43148003_8_8,industrial,suburban,14.951458339706134,17.099590095888395,-2.148131756182261
SP_43148022_8_8,industrial,suburban,14.737748485729036,20.35539656316619,-5.617648077437156
SP_43162002_8_8,industrial,rural,7.915865914623678,5.2173184260455105,2.6985474885781677
SP_43162005_8_8,industrial,rural,2.347864772239087,2.8137595801150916,-0.4658948078760048
SP_45165004_8_8,traffic,urban,24.91392295635985,12.172897513028138,12.741025443331713
SP_46010001_8_8,industrial,suburban,9.05646950591128,4.894528965063295,4.1619405408479855
SP_46078004_8_8,traffic,urban,11.32718073765824,14.443870762611146,-3.1166900249529057
SP_46102002_8_8,traffic,urban,15.38379362342463,11.795439751003677,3.588353872420953
SP_46131002_8_8,traffic,urban,9.459453636039791,10.44244881761757,-0.9829951815777793
SP_46220003_8_8,traffic,urban,9.500420544859296,11.735243095280465,-2.2348225504211694
SP_46220010_8_8,industrial,suburban,8.678384378616771,4.450330028766511,4.22805434985026
SP_46250030_8_8,traffic,urban,16.2617323481883,18.158375724185444,-1.8966433759971437
SP_46250047_8_8,traffic,urban,15.853579053766875,14.23242056361609,1.6211584901507852
SP_46250048_8_8,traffic,suburban,16.431065730894442,10.807062159960678,5.624003570933764
SP_46250050_8_8,traffic,urban,18.49982065290192,15.497480425784255,3.0023402271176653
SP_46250054_8_8,traffic,urban,27.89406905836373,15.782424097980083,12.111644960383646
SP_46250055_8_8,traffic,urban,33.65848668062543,16.731090645621276,16.927396035004154
SP_47085003_8_8,industrial,suburban,4.228337342824144,8.755657471555617,-4.527320128731473
SP_47186022_8_8,industrial,suburban,10.8821787990968,8.967730933077805,1.914447866018996
SP_47186025_8_8,industrial,urban,17.32268526499227,16.349715092723965,0.9729701722683046
SP_47186026_8_8,industrial,suburban,4.760862613506236,8.32765649584147,-3.566793882335234
SP_47186027_8_8,traffic,urban,21.47416829325477,19.19587318199464,2.2782951112601317
SP_47186029_8_8,traffic,urban,15.261103765769,17.702652304330645,-2.4415485385616442
SP_47186030_8_8,industrial,urban,15.385199086330232,16.671389229311654,-1.2861901429814218
SP_47186031_8_8,traffic,urban,19.25123947923689,17.458744611764523,1.7924948674723673
SP_47186032_8_8,traffic,urban,12.775602552370348,10.146595128123796,2.629007424246552
SP_48002001_8_8,industrial,suburban,15.62007369556286,10.918868266483383,4.701205429079478
SP_48002002_8_8,industrial,urban,13.622195184428552,8.596995060493146,5.025200123935406
SP_48015002_8_8,industrial,urban,19.97680031074874,19.88501221985744,0.09178809089129913
SP_48020006_8_8,traffic,urban,29.04555077879342,22.607931802936182,6.437618975857237
SP_48020062_8_8,traffic,urban,22.93239396473092,19.33118621894101,3.6012077457899103
SP_48027001_8_8,industrial,urban,16.00202921125404,11.784092398459636,4.217936812794404
SP_48071002_8_8,industrial,suburban,7.563623237687373,12.76697106532449,-5.203347827637118
SP_48071004_8_8,industrial,urban,8.08977504360629,11.0177156226914,-2.92794057908511
SP_48084008_8_8,traffic,urban,20.54272474546725,23.928997573220055,-3.386272827752805
SP_48902006_8_8,traffic,urban,22.051077385955903,19.928528488176756,2.122548897779147
SP_48904002_8_8,traffic,suburban,16.73069681950475,21.112199427667033,-4.3815026081622825
SP_49275002_8_8,traffic,urban,10.24999866420674,12.713754584364962,-2.4637559201582206
SP_50008001_8_8,traffic,suburban,12.86134113234153,5.0724474479761525,7.788893684365377
SP_50297026_8_8,traffic,suburban,17.734950587402132,16.196583769805827,1.5383668175963052
SP_50297029_8_8,traffic,urban,20.039506918846502,16.669304323408078,3.3702025954384247
SP_50297032_8_8,industrial,suburban,12.688480039702892,14.927561258106833,-2.239081218403941
SP_50297037_8_8,traffic,urban,17.07812497220485,12.68628272818535,4.3918422440195
